Package received,time received,time send,package send,rssi,snr,freqError
1,22:10:22,22:08:01,1,-104,5.5,816
2,22:10:25,22:08:04,2,-104,3.5,824
3,22:10:28,22:08:08,3,-108,0,832
4,22:10:32,22:08:11,4,-104,2.25,838
5,22:10:35,22:08:14,5,-106,-9.75,842
6,22:10:38,22:08:18,6,-107,1.75,846
7,22:10:42,22:08:21,7,-108,3.25,851
8,22:10:45,22:08:24,8,-106,3.75,856
9,22:10:48,22:08:28,9,-105,4.25,857
10,22:10:52,22:08:31,10,-101,5.5,862
11,22:10:56,22:08:34,11,-103,3.5,869
12,22:10:59,22:08:38,12,-101,3.75,874
13,22:11:03,22:08:42,13,-102,4.25,878
14,22:11:06,22:08:45,14,-102,4.25,883
15,22:11:10,22:08:49,15,-100,4.75,888
16,22:11:14,22:08:52,16,-101,3.75,892
17,22:11:17,22:08:56,17,-101,4.5,897
18,22:11:21,22:09:00,18,-100,4.5,901
19,22:11:24,22:09:03,19,-100,3.5,905
20,22:11:28,22:09:07,20,-101,4.25,908
21,22:11:31,22:09:10,21,-98,5.75,913
22,22:11:35,22:09:14,22,-100,4.5,917
23,22:11:38,22:09:17,23,-100,3,920
24,22:11:42,22:09:21,24,-100,4,924
25,22:11:46,22:09:25,25,-98,6,926
26,22:11:49,22:09:28,26,-98,5.75,930
27,22:11:53,22:09:32,27,-99,4.25,933
29,22:12:00,22:09:39,29,-99,5.5,939
30,22:12:04,22:09:43,30,-100,5.25,942
31,22:12:07,22:09:46,31,-101,5,946
32,22:12:11,22:09:50,32,-100,5.25,948
33,22:12:14,22:09:53,33,-101,5.5,951
34,22:12:18,22:09:57,34,-100,6,954
35,22:12:21,22:10:00,35,-100,5,956
36,22:12:25,22:10:04,36,-101,4.5,959
37,22:12:29,22:10:08,37,-102,4,962
38,22:12:32,22:10:11,38,-100,5.25,964
39,22:12:36,22:10:15,39,-99,5.75,967
40,22:12:39,22:10:18,40,-101,4.25,970
41,22:12:43,22:10:22,41,-101,4,971
42,22:12:47,22:10:26,42,-99,7.5,973
43,22:12:50,22:10:29,43,-102,4.25,975
44,22:12:54,22:10:33,44,-100,4.75,978
45,22:12:57,22:10:36,45,-100,5.75,979
46,22:13:01,22:10:40,46,-100,5.5,981
47,22:13:04,22:10:43,47,-101,4.5,983
48,22:13:08,22:10:47,48,-102,3.75,985
49,22:13:12,22:10:51,49,-98,6.25,986
,,,,,,
49.00,170.00,170.00,49.00,-101.33,4.20,917.73
