Package received,time received,time send,package send,rssi,snr,freqError
1,22:56:11,22:53:51,1,-109,-10,618
2,22:56:15,22:53:54,2,-109,-11.5,620
3,22:56:18,22:53:57,3,-109,-13.5,626
4,22:56:21,22:54:01,4,-109,-12.5,628
5,22:56:25,22:54:04,5,-110,-13.75,630
6,22:56:28,22:54:07,6,-109,-12.5,633
7,22:56:31,22:54:11,7,-108,-12,634
8,22:56:35,22:54:14,8,-108,-14.25,633
9,22:56:38,22:54:17,9,-108,-13,634
10,22:56:42,22:54:21,10,-108,-13,634
11,22:56:45,22:54:24,11,-107,-14,636
12,22:56:49,22:54:28,12,-107,-14.25,638
13,22:56:52,22:54:31,13,-107,-14,639
14,22:56:56,22:54:35,14,-107,-15.5,641
15,22:57:00,22:54:39,15,-107,-15.5,641
16,22:57:03,22:54:42,16,-107,-13.5,644
17,22:57:07,22:54:46,17,-107,-15.75,645
18,22:57:10,22:54:49,18,-106,-15,645
19,22:57:17,22:54:56,20,-107,-18,646
20,22:57:21,22:55:00,21,-106,-14.25,649
21,22:57:25,22:55:04,22,-106,-15.5,649
22,22:57:28,22:55:07,23,-106,-16,647
23,22:57:32,22:55:11,24,-106,-16.25,647
24,22:57:35,22:55:14,25,-106,-16.25,648
25,22:57:39,22:55:18,26,-107,-14,647
26,22:57:46,22:55:25,28,-106,-15.25,648
27,22:57:50,22:55:29,29,-107,-19.25,647
28,22:57:53,22:55:32,30,-107,-18.5,648
29,22:57:57,22:55:36,31,-107,-15.5,648
30,22:58:00,22:55:39,32,-107,-19.5,649
31,22:58:08,22:55:47,34,-107,-18.5,651
32,22:58:11,22:55:50,35,-107,-16.75,651
33,22:58:15,22:55:54,36,-107,-16.75,651
34,22:58:18,22:55:57,37,-107,-17,649
35,22:58:26,22:56:05,39,-108,-20.5,650
36,22:58:29,22:56:08,40,-107,-17.25,651
37,22:58:33,22:56:12,41,-107,-19.75,649
38,22:58:36,22:56:15,42,-108,-20.25,650
39,22:58:40,22:56:19,43,-107,-15.5,650
40,22:58:43,22:56:22,44,-108,-17.5,650
41,22:58:47,22:56:26,45,-107,-18,650
42,22:58:51,22:56:30,46,-108,-19,651
43,22:58:58,22:56:37,48,-109,-21.25,648
,,,,,,
43.00,167.00,166.00,48.00,-107.37,-15.81,642.86
