Package received,time received,time send,package send,rssi,snr,freqError
1,22:14:25,22:12:04,1,-102,5.25,850
2,22:14:28,22:12:08,2,-102,5.5,857
3,22:14:32,22:12:11,3,-103,3.5,862
4,22:14:35,22:12:14,4,-100,6,867
5,22:14:38,22:12:18,5,-102,3.75,871
6,22:14:42,22:12:21,6,-103,3.5,874
7,22:14:45,22:12:24,7,-101,4.75,878
8,22:14:48,22:12:28,8,-101,2.75,881
9,22:14:52,22:12:31,9,-103,3.25,882
10,22:14:55,22:12:34,10,-102,2,885
11,22:14:59,22:12:38,11,-101,3.25,889
12,22:15:02,22:12:41,12,-102,2,894
13,22:15:06,22:12:45,13,-101,4,899
14,22:15:10,22:12:48,14,-100,4.25,903
15,22:15:13,22:12:52,15,-101,4.75,907
16,22:15:17,22:12:56,16,-102,1.25,911
17,22:15:20,22:12:59,17,-99,6,915
18,22:15:24,22:13:03,18,-99,5.75,915
19,22:15:27,22:13:06,19,-98,6,919
20,22:15:31,22:13:10,20,-100,5,923
21,22:15:35,22:13:14,21,-98,5,927
22,22:15:38,22:13:17,22,-99,6,930
23,22:15:42,22:13:21,23,-101,4.25,932
24,22:15:45,22:13:24,24,-102,2.75,934
25,22:15:49,22:13:28,25,-100,4,936
26,22:15:53,22:13:31,26,-101,4,938
27,22:15:56,22:13:35,27,-99,4.75,940
28,22:16:00,22:13:39,28,-99,5.5,942
29,22:16:03,22:13:42,29,-103,1,944
30,22:16:07,22:13:46,30,-103,2,946
31,22:16:10,22:13:49,31,-101,3.5,948
32,22:16:14,22:13:53,32,-98,5.75,950
33,22:16:18,22:13:57,33,-98,6.25,953
34,22:16:21,22:14:00,34,-100,5,954
35,22:16:25,22:14:04,35,-98,6,958
36,22:16:28,22:14:07,36,-104,-1.5,960
37,22:16:32,22:14:11,37,-104,-0.75,961
38,22:16:36,22:14:14,38,-104,-0.5,963
39,22:16:39,22:14:18,39,-102,2.5,966
40,22:16:43,22:14:22,40,-103,0.5,968
41,22:16:46,22:14:25,41,-103,1.5,969
42,22:16:50,22:14:29,42,-103,2,971
43,22:16:53,22:14:32,43,-99,6,973
44,22:16:57,22:14:36,44,-99,6.5,974
45,22:17:01,22:14:40,45,-100,5,977
46,22:17:04,22:14:43,46,-100,5.5,979
47,22:17:08,22:14:47,47,-102,4.25,980
48,22:17:11,22:14:50,48,-102,3.25,982
49,22:17:15,22:14:54,49,-98,6.5,983
50,22:17:19,22:14:57,50,-98,5.25,984
51,22:17:22,22:15:01,51,-100,4.5,986
,,,,,,
51.00,177.00,177.00,51.00,-100.84,3.90,931.18
