Package received,time received,time send,package send,rssi,snr,freqError
1,22:30:44,22:28:23,1,-105,1,766
2,22:30:47,22:28:26,2,-104,2.25,775
3,22:30:51,22:28:30,3,-105,1.5,781
4,22:30:54,22:28:33,4,-106,1.75,786
5,22:30:57,22:28:36,5,-105,2.25,791
6,22:31:00,22:28:40,6,-105,2.25,796
7,22:31:04,22:28:43,7,-105,2.25,800
8,22:31:07,22:28:46,8,-105,2.25,803
9,22:31:10,22:28:50,9,-106,2,807
10,22:31:14,22:28:53,10,-103,2,810
11,22:31:18,22:28:57,11,-104,2,814
12,22:31:21,22:29:00,12,-103,2.25,820
13,22:31:25,22:29:04,13,-103,2.5,824
14,22:31:28,22:29:07,14,-104,2.25,828
15,22:31:32,22:29:11,15,-104,2,835
16,22:31:35,22:29:14,16,-104,2.5,838
17,22:31:39,22:29:18,17,-103,2,842
18,22:31:43,22:29:22,18,-104,2,845
19,22:31:46,22:29:25,19,-104,2,850
20,22:31:50,22:29:29,20,-104,2.25,853
21,22:31:53,22:29:32,21,-103,2,856
22,22:31:57,22:29:36,22,-103,2,859
23,22:32:01,22:29:40,23,-103,2.25,862
24,22:32:04,22:29:43,24,-103,2.25,865
25,22:32:08,22:29:47,25,-102,2.25,869
26,22:32:11,22:29:50,26,-103,2.5,872
27,22:32:15,22:29:54,27,-102,2.5,875
28,22:32:18,22:29:57,28,-102,2.5,879
29,22:32:22,22:30:01,29,-102,2.5,883
30,22:32:26,22:30:05,30,-102,2.75,885
31,22:32:29,22:30:08,31,-103,2.25,888
32,22:32:33,22:30:12,32,-103,2.5,891
33,22:32:36,22:30:15,33,-102,2.25,893
34,22:32:40,22:30:19,34,-103,2.25,895
35,22:32:44,22:30:23,35,-102,3,898
36,22:32:47,22:30:26,36,-102,3,900
37,22:32:51,22:30:30,37,-102,2.75,900
38,22:32:54,22:30:33,38,-102,2.75,902
39,22:32:58,22:30:37,39,-102,2.75,905
40,22:33:01,22:30:40,40,-103,2.5,907
41,22:33:05,22:30:44,41,-104,2,910
42,22:33:09,22:30:48,42,-103,2.25,911
43,22:33:12,22:30:51,43,-104,2.25,913
44,22:33:16,22:30:55,44,-104,1.5,914
45,22:33:19,22:30:58,45,-104,1.5,916
46,22:33:23,22:31:02,46,-105,1.75,915
47,22:33:27,22:31:06,47,-103,2.25,916
48,22:33:30,22:31:09,48,-103,2.5,918
49,22:33:34,22:31:13,49,-103,2,919
50,22:33:37,22:31:16,50,-104,2,920
,,,,,,
50.00,173.00,173.00,50.00,-103.44,2.22,862.00
