Package received,time received,time send,package send,rssi,snr,freqError
1,22:18:28,22:16:07,1,-107,-5.75,823
2,22:18:32,22:16:11,2,-106,-0.5,828
3,22:18:35,22:16:14,3,-104,1.75,837
4,22:18:38,22:16:17,4,-106,0.25,839
5,22:18:42,22:16:21,5,-107,-2.5,843
6,22:18:45,22:16:24,6,-108,-5.25,845
7,22:18:48,22:16:27,7,-105,1.25,850
8,22:18:51,22:16:31,8,-107,-2,853
9,22:18:55,22:16:34,9,-106,-0.25,855
10,22:18:58,22:16:37,10,-105,-0.5,859
11,22:19:02,22:16:41,11,-105,-1.5,863
12,22:19:06,22:16:45,12,-105,-3,867
13,22:19:09,22:16:48,13,-105,-3.75,870
14,22:19:13,22:16:52,14,-101,4,874
15,22:19:16,22:16:55,15,-103,2,877
16,22:19:20,22:16:59,16,-106,-2.5,880
17,22:19:23,22:17:02,17,-105,-1.5,884
18,22:19:27,22:17:06,18,-105,-2,888
19,22:19:31,22:17:10,19,-104,-0.75,892
20,22:19:34,22:17:13,20,-104,-0.5,894
21,22:19:38,22:17:17,21,-104,0.75,897
22,22:19:41,22:17:20,22,-102,2,899
23,22:19:45,22:17:24,23,-103,1.75,903
24,22:19:49,22:17:28,24,-103,1.5,906
25,22:19:52,22:17:31,25,-103,1.5,908
26,22:19:56,22:17:35,26,-103,1,911
27,22:19:59,22:17:38,27,-103,1.25,914
28,22:20:03,22:17:42,28,-104,0.75,917
29,22:20:06,22:17:45,29,-103,1,920
30,22:20:10,22:17:49,30,-102,2.75,922
31,22:20:14,22:17:53,31,-102,1.75,925
32,22:20:17,22:17:56,32,-101,1,927
33,22:20:21,22:18:00,33,-103,-0.25,929
34,22:20:24,22:18:03,34,-102,0.5,931
35,22:20:28,22:18:07,35,-104,-0.5,934
36,22:20:32,22:18:11,36,-103,0.5,936
37,22:20:35,22:18:14,37,-103,0.75,9
38,22:20:39,22:18:18,38,-102,0.25,940
39,22:20:42,22:18:21,39,-103,0,942
40,22:20:46,22:18:25,40,-103,-2.25,943
41,22:20:49,22:18:28,41,-102,-0.25,946
42,22:20:53,22:18:32,42,-103,0.25,947
43,22:20:57,22:18:36,43,-102,0,950
44,22:21:00,22:18:39,44,-104,-1.5,951
45,22:21:04,22:18:43,45,-103,-0.75,952
46,22:21:07,22:18:46,46,-103,0.5,954
47,22:21:11,22:18:50,47,-104,-1.25,954
48,22:21:15,22:18:54,48,-106,-8.5,957
49,22:21:18,22:18:57,49,-103,-0.25,958
50,22:21:22,22:19:01,50,-103,1,959
,,,,,,
50.00,174.00,174.00,50.00,-103.86,-0.36,885.24
