Package received,time received,time send,package send,rssi,snr,freqError
1,0:24:18,0:21:57,1,-118,-15,602
2,0:24:22,0:22:01,2,-118,-16.75,610
3,0:24:25,0:22:04,3,-118,-17.5,616
4,0:24:28,0:22:07,4,-119,-15.25,622
5,0:24:32,0:22:11,5,-120,-17,625
6,0:24:35,0:22:14,6,-120,-17,632
7,0:24:38,0:22:17,7,-119,-17.75,637
8,0:24:42,0:22:21,8,-118,-17.5,640
9,0:24:45,0:22:24,9,-117,-17.25,644
10,0:24:49,0:22:27,10,-115,-16.25,649
11,0:24:52,0:22:31,11,-116,-15,654
12,0:24:56,0:22:34,12,-116,-17.25,658
13,0:24:59,0:22:38,13,-116,-16.5,663
14,0:25:03,0:22:42,14,-116,-15.25,668
15,0:25:07,0:22:45,15,-116,-14.25,671
16,0:25:10,0:22:49,16,-116,-14.5,666
17,0:25:14,0:22:52,17,-115,-15,679
18,0:25:17,0:22:56,18,-115,-14.5,684
19,0:25:21,0:22:59,19,-115,-14,689
20,0:25:24,0:23:03,20,-116,-13.5,692
21,0:25:28,0:23:07,21,-116,-13.5,694
22,0:25:32,0:23:10,22,-116,-14,699
23,0:25:35,0:23:14,23,-115,-16.25,703
24,0:25:53,0:23:32,28,-117,-22,719
25,0:25:57,0:23:35,29,-117,-20.25,723
26,0:26:00,0:23:39,30,-117,-19.75,723
27,0:26:04,0:23:42,31,-119,-19.5,727
28,0:26:07,0:23:46,32,-118,-18.25,732
29,0:26:11,0:23:50,33,-119,-19.75,734
30,0:26:15,0:23:53,34,-119,-18.5,736
31,0:26:18,0:23:57,35,-119,-18.5,740
32,0:26:22,0:24:00,36,-119,-20.5,742
33,0:26:25,0:24:04,37,-119,-19,744
34,0:26:33,0:24:11,39,-118,-17.25,750
35,0:26:36,0:24:15,40,-119,-18.5,753
36,0:26:43,0:24:22,42,-119,-18.75,759
37,0:26:47,0:24:25,43,-119,-18.25,758
38,0:26:50,0:24:29,44,-119,-18.25,762
39,0:26:54,0:24:33,45,-119,-18.5,763
40,0:26:58,0:24:36,46,-119,-19,766
41,0:27:01,0:24:40,47,-119,-19.75,769
42,0:27:05,0:24:43,48,-117,-19.25,773
43,0:27:08,0:24:47,49,-118,-20,773
44,0:27:15,0:24:54,51,-116,-20.75,774
45,0:27:19,0:24:58,52,-117,-21,780
46,0:27:23,0:25:01,53,-117,-20.25,781
47,0:27:26,0:25:05,54,-116,-20.25,785
48,0:27:30,0:25:08,55,-117,-20.75,786
49,0:27:33,0:25:12,56,-117,-21,785
,,,,,,
49.00,195.00,195.00,56.00,-117.45,-17.72,708.86
