Package received,time received,time send,package send,rssi,snr,freqError
1,23:34:49,23:32:28,1,-108,5.75,490
2,23:34:52,23:32:31,2,-111,4.25,499
3,23:34:55,23:32:34,3,-113,2.75,507
4,23:34:59,23:32:38,4,-111,4.25,516
5,23:35:02,23:32:41,5,-112,3.75,521
6,23:35:05,23:32:44,6,-111,5.75,527
7,23:35:09,23:32:48,7,-114,3,533
8,23:35:12,23:32:51,8,-112,4.75,539
9,23:35:19,23:32:58,10,-112,4.75,548
10,23:35:22,23:33:01,11,-112,4,557
11,23:35:26,23:33:05,12,-112,4.25,561
12,23:35:30,23:33:08,13,-110,5.5,568
13,23:35:33,23:33:12,14,-109,5.25,574
14,23:35:37,23:33:16,15,-108,6,581
15,23:35:40,23:33:19,16,-107,6.75,585
16,23:35:44,23:33:23,17,-107,7,591
17,23:35:47,23:33:26,18,-109,5.75,597
18,23:35:51,23:33:30,19,-107,6.25,603
19,23:35:55,23:33:34,20,-109,5.75,608
20,23:35:58,23:33:37,21,-108,5,612
21,23:36:02,23:33:41,22,-108,5.5,617
22,23:36:05,23:33:44,23,-111,4,621
23,23:36:09,23:33:48,24,-112,2.75,627
24,23:36:13,23:33:51,25,-111,4.25,627
25,23:36:16,23:33:55,26,-110,5.5,635
26,23:36:20,23:33:59,27,-106,7.5,639
27,23:36:23,23:34:02,28,-108,7,641
28,23:36:27,23:34:06,29,-108,6.25,643
29,23:36:30,23:34:09,30,-108,6.25,649
30,23:36:34,23:34:13,31,-108,5.75,652
31,23:36:38,23:34:17,32,-109,5.25,655
32,23:36:41,23:34:20,33,-107,8.25,657
33,23:36:45,23:34:24,34,-107,6.5,658
34,23:36:48,23:34:27,35,-109,5.75,662
35,23:36:52,23:34:31,36,-110,5.75,665
36,23:36:56,23:34:34,37,-109,5.5,668
37,23:36:59,23:34:38,38,-110,5.5,669
38,23:37:03,23:34:42,39,-109,6.25,672
39,23:37:06,23:34:45,40,-110,5.25,673
40,23:37:10,23:34:49,41,-110,4.75,676
41,23:37:13,23:34:52,42,-109,6,677
42,23:37:17,23:34:56,43,-110,5.25,678
43,23:37:21,23:35:00,44,-110,5,680
44,23:37:24,23:35:03,45,-110,5.25,683
45,23:37:28,23:35:07,46,-109,6,683
46,23:37:31,23:35:10,47,-110,5.25,681
47,23:37:35,23:35:14,48,-108,5.75,683
,,,,,,
47.00,166.00,166.00,48.00,-109.53,5.37,614.64
