Package received,time received,time send,package send,rssi,snr,freqError
1,0:13:18,0:10:57,1,-117,-10,594
2,0:13:22,0:11:00,2,-117,-13.75,601
3,0:13:25,0:11:04,3,-118,-9.75,608
4,0:13:28,0:11:07,4,-118,-9,615
5,0:13:32,0:11:10,5,-119,-9.5,619
6,0:13:35,0:11:14,6,-119,-9.75,623
7,0:13:38,0:11:17,7,-119,-10.75,627
8,0:13:42,0:11:20,8,-120,-11,633
9,0:13:45,0:11:24,9,-119,-10.25,638
10,0:13:48,0:11:27,10,-119,-10.75,642
11,0:13:52,0:11:31,11,-119,-10,648
12,0:13:56,0:11:34,12,-117,-10.75,653
13,0:13:59,0:11:38,13,-119,-10.25,660
14,0:14:03,0:11:41,14,-119,-10,662
15,0:14:06,0:11:45,15,-119,-9.25,669
16,0:14:10,0:11:48,16,-119,-11.25,674
17,0:14:14,0:11:52,17,-119,-9.75,679
18,0:14:17,0:11:56,18,-119,-10,683
20,0:14:24,0:12:03,20,-118,-9.25,692
21,0:14:28,0:12:06,21,-119,-9.5,696
22,0:14:31,0:12:10,22,-119,-9,700
23,0:14:35,0:12:14,23,-119,-8.75,703
24,0:14:39,0:12:17,24,-119,-9.25,709
25,0:14:42,0:12:21,25,-119,-9.5,711
26,0:14:46,0:12:24,26,-119,-11,715
27,0:14:49,0:12:28,27,-118,-10.75,715
28,0:14:53,0:12:31,28,-118,-11.5,720
29,0:14:57,0:12:35,29,-118,-11.25,721
30,0:15:00,0:12:39,30,-118,-10.5,726
31,0:15:04,0:12:42,31,-117,-10.75,730
32,0:15:07,0:12:46,32,-118,-14.5,733
33,0:15:11,0:12:49,33,-119,-13.25,736
34,0:15:14,0:12:53,34,-118,-15.75,739
35,0:15:18,0:12:57,35,-118,-13.5,742
36,0:15:22,0:13:00,36,-119,-10.25,741
37,0:15:25,0:13:04,37,-118,-10,740
38,0:15:29,0:13:07,38,-119,-11,742
39,0:15:32,0:13:11,39,-119,-10.75,743
40,0:15:36,0:13:14,40,-119,-12,744
41,0:15:40,0:13:18,41,-120,-10.5,746
42,0:15:43,0:13:22,42,-119,-11,748
43,0:15:47,0:13:25,43,-119,-10.75,751
45,0:15:54,0:13:32,45,-119,-13,755
46,0:15:57,0:13:36,46,-120,-13,759
47,0:16:01,0:13:40,47,-120,-13.5,762
48,0:16:05,0:13:43,48,-119,-12.75,765
49,0:16:08,0:13:47,49,-118,-14.75,767
50,0:16:12,0:13:50,50,-118,-16.5,767
51,0:16:15,0:13:54,51,-118,-14,766
,,,,,,
51.00,177.00,177.00,51.00,-118.63,-11.17,700.24
