Package received,time received,time send,package send,rssi,snr,freqError
1,0:39:59,0:37:38,1,-116,-18.5,604
2,0:40:03,0:37:41,2,-117,-17.75,605
3,0:40:06,0:37:45,3,-118,-17.75,611
4,0:40:09,0:37:48,4,-119,-18.5,618
5,0:40:13,0:37:51,5,-120,-20.25,618
6,0:40:16,0:37:55,6,-120,-20.75,622
7,0:40:19,0:37:58,7,-120,-20.25,625
8,0:40:23,0:38:01,8,-119,-21.25,627
9,0:40:26,0:38:05,9,-120,-21.25,630
10,0:40:29,0:38:08,10,-118,-18.5,630
11,0:40:33,0:38:12,11,-117,-15.5,638
12,0:40:37,0:38:15,12,-118,-18.5,639
13,0:40:40,0:38:19,13,-119,-17.5,644
14,0:40:44,0:38:22,14,-118,-17,646
15,0:40:47,0:38:26,15,-118,-17.25,649
16,0:40:51,0:38:30,16,-119,-16.5,650
17,0:40:55,0:38:33,17,-119,-17.5,651
18,0:40:58,0:38:37,18,-119,-17.25,654
19,0:41:02,0:38:40,19,-119,-17,654
20,0:41:05,0:38:44,20,-119,-17.75,658
21,0:41:09,0:38:47,21,-119,-16.5,658
22,0:41:12,0:38:51,22,-119,-17.25,664
23,0:41:16,0:38:55,23,-119,-17,659
24,0:41:20,0:38:58,24,-119,-16.5,661
25,0:41:23,0:39:02,25,-119,-18.25,659
26,0:41:27,0:39:05,26,-119,-17.75,662
27,0:41:30,0:39:09,27,-119,-18.5,660
28,0:41:34,0:39:13,28,-119,-16.25,661
29,0:41:38,0:39:16,29,-119,-18,663
30,0:41:41,0:39:20,30,-119,-19,664
31,0:41:45,0:39:23,31,-119,-17.75,662
32,0:41:48,0:39:27,32,-119,-17.5,664
33,0:41:52,0:39:30,33,-119,-17,666
34,0:41:55,0:39:34,34,-119,-16.75,668
35,0:41:59,0:39:38,35,-119,-17,669
36,0:42:03,0:39:41,36,-119,-16,671
37,0:42:06,0:39:45,37,-119,-16.75,671
38,0:42:10,0:39:48,38,-119,-15.5,670
39,0:42:13,0:39:52,39,-119,-15.75,672
40,0:42:17,0:39:56,40,-119,-17,675
41,0:42:21,0:39:59,41,-119,-14.75,675
42,0:42:24,0:40:03,42,-119,-15.25,676
43,0:42:28,0:40:06,43,-119,-16.75,676
44,0:42:31,0:40:10,44,-119,-15.75,675
,,,,,,
44.00,152.00,152.00,44.00,-118.82,-17.52,651.68
