Package received,time received,time send,package send,rssi,snr,freqError
1,16:04:15,16:01:38,1,-106,-3.75,573
2,16:04:17,16:01:40,2,-105,-1.00,575
3,16:04:20,16:01:43,3,-108,-2.75,575
4,16:04:22,16:01:45,4,-105,0.75,575
5,16:04:24,16:01:47,5,-106,0.75,575
6,16:04:27,16:01:50,6,-105,1.25,577
7,16:04:29,16:01:52,7,-105,-0.25,577
8,16:04:31,16:01:54,8,-105,-1.25,573
9,16:04:34,16:01:57,9,-104,0.75,575
10,16:04:36,16:01:59,10,-106,-2.00,571
11,16:04:38,16:02:01,11,-105,-0.75,577
12,16:04:41,16:02:04,12,-105,-0.25,573
13,16:04:43,16:02:06,13,-105,-0.25,571
14,16:04:45,16:02:08,14,-105,1.75,569
15,16:04:48,16:02:11,15,-104,-3.50,498
16,16:04:50,16:02:13,16,-105,-0.50,575
17,16:04:52,16:02:15,17,-105,-1.75,565
18,16:04:55,16:02:18,18,-104,1.75,569
19,16:04:57,16:02:20,19,-106,0.75,567
20,16:04:59,16:02:22,20,-104,1.00,573
21,16:05:02,16:02:25,21,-105,-0.25,569
22,16:05:04,16:02:27,22,-105,-3.50,573
23,16:05:06,16:02:29,23,-103,1.75,573
24,16:05:09,16:02:32,24,-103,1.50,571
25,16:05:11,16:02:34,25,-104,2.00,569
26,16:05:13,16:02:36,26,-102,1.75,569
27,16:05:16,16:02:39,27,-105,0.25,571
28,16:05:18,16:02:41,28,-105,0.50,571
29,16:05:20,16:02:43,29,-104,-2.75,571
30,16:05:23,16:02:46,30,-106,-1.75,573
31,16:05:25,16:02:48,31,-105,0.00,567
32,16:05:27,16:02:50,32,-106,-2.50,569
33,16:05:30,16:02:53,33,-104,-5.25,567
34,16:05:32,16:02:55,34,-106,-2.25,569
35,16:05:34,16:02:57,35,-107,-2.75,567
36,16:05:37,16:03:00,36,-105,-5.00,567
37,16:05:39,16:03:02,37,-105,-0.75,567
38,16:05:41,16:03:04,38,-108,-3.75,563
39,16:05:44,16:03:07,39,-106,-2.00,565
40,16:05:46,16:03:09,40,-107,-5.50,565
41,16:05:48,16:03:11,41,-106,-2.50,565
42,16:05:51,16:03:14,42,-107,-3.00,567
43,16:05:53,16:03:16,43,-106,-3.25,565
44,16:05:55,16:03:18,44,-106,-3.50,567
45,16:05:58,16:03:21,45,-106,-3.75,569
46,16:06:00,16:03:23,46,-104,-2.50,565
47,16:06:02,16:03:25,47,-106,-0.50,563
