Package received,time received,time send,package send,rssi,snr,freqError
1,16:08:21,16:05:44,1,-107,-7.75,546
2,16:08:23,16:05:46,2,-109,-8.75,546
3,16:08:26,16:05:49,3,-108,-6.00,546
4,16:08:28,16:05:51,4,-108,-6.75,548
5,16:08:30,16:05:53,5,-108,-6.25,546
6,16:08:33,16:05:56,6,-107,-9.25,548
7,16:08:35,16:05:58,7,-106,-6.75,548
8,16:08:37,16:06:00,8,-106,-7.25,548
9,16:08:40,16:06:03,9,-107,-6.00,548
10,16:08:42,16:06:05,10,-107,-9.25,546
11,16:08:44,16:06:07,11,-107,-8.00,548
12,16:08:47,16:06:10,12,-107,-8.75,546
13,16:08:49,16:06:12,13,-107,-8.75,548
14,16:08:51,16:06:14,14,-107,-9.75,546
15,16:08:54,16:06:17,15,-107,-9.00,548
16,16:08:56,16:06:19,16,-107,-7.00,546
17,16:08:58,16:06:21,17,-107,-6.75,546
18,16:09:01,16:06:24,18,-107,-9.00,548
19,16:09:03,16:06:26,19,-107,-8.00,548
20,16:09:05,16:06:28,20,-106,-8.75,548
21,16:09:08,16:06:31,21,-107,-10.50,548
22,16:09:10,16:06:33,22,-107,-10.25,546
23,16:09:12,16:06:35,23,-107,-8.75,548
24,16:09:15,16:06:38,24,-108,-7.75,546
25,16:09:17,16:06:40,25,-107,-9.25,546
26,16:09:19,16:06:42,26,-106,-9.25,548
27,16:09:22,16:06:45,27,-108,-9.25,548
28,16:09:24,16:06:47,28,-108,-8.75,548
29,16:09:26,16:06:49,29,-106,-10.50,548
30,16:09:29,16:06:52,30,-107,-9.00,546
31,16:09:31,16:06:54,31,-107,-9.00,548
32,16:09:33,16:06:56,32,-107,-9.50,546
33,16:09:36,16:06:59,33,-104,-13.25,548
34,16:09:38,16:07:01,34,-105,-12.00,548
35,16:09:40,16:07:03,35,-108,-9.25,548
36,16:09:43,16:07:06,36,-106,-10.00,546
37,16:09:45,16:07:08,37,-107,-9.00,546
38,16:09:47,16:07:10,38,-107,-9.00,548
39,16:09:50,16:07:13,39,-107,-10.75,548
40,16:09:52,16:07:15,40,-103,-12.75,548
41,16:09:54,16:07:17,41,-106,-12.00,544
42,16:09:57,16:07:20,42,-106,-10.25,548
43,16:09:59,16:07:22,43,-105,-9.25,546
44,16:10:01,16:07:24,44,-106,-8.50,546
45,16:10:04,16:07:27,45,-106,-9.00,544
46,16:10:06,16:07:29,46,-108,-5.75,544
