Package received,time received,time send,package send,rssi,snr,freqError
1,10:59:36,10:57:10,1,-103,1.25,756
2,10:59:38,10:57:13,2,-103,-1.25,730
3,10:59:41,10:57:15,3,-104,-11.50,735
4,10:59:43,10:57:17,4,-104,-1.50,749
5,10:59:45,10:57:20,5,-98,4.50,741
6,10:59:48,10:57:22,6,-103,-11.50,741
7,10:59:50,10:57:24,7,-93,5.25,732
8,10:59:52,10:57:27,8,-97,3.25,728
9,10:59:55,10:57:29,9,-94,5.50,718
10,10:59:57,10:57:31,10,-95,4.25,711
11,10:59:59,10:57:34,11,-95,4.25,709
12,11:00:02,10:57:36,12,-95,3.75,703
13,11:00:04,10:57:38,13,-98,5.00,695
14,11:00:06,10:57:41,14,-94,5.00,691
15,11:00:09,10:57:43,15,-96,4.75,676
16,11:00:11,10:57:45,16,-96,4.75,657
17,11:00:13,10:57:48,17,-96,4.25,644
18,11:00:16,10:57:50,18,-94,4.00,642
19,11:00:18,10:57:52,19,-96,4.50,638
20,11:00:20,10:57:55,20,-96,4.75,625
21,11:00:23,10:57:57,21,-95,4.50,619
22,11:00:25,10:57:59,22,-96,4.50,615
23,11:00:27,10:58:02,23,-95,4.25,607
24,11:00:30,10:58:04,24,-97,5.00,596
25,11:00:32,10:58:06,25,-95,4.00,586
26,11:00:34,10:58:09,26,-99,1.75,573
27,11:00:37,10:58:11,27,-101,0.00,560
28,11:00:39,10:58:13,28,-98,3.50,550
29,11:00:41,10:58:16,29,-103,-4.00,548
30,11:00:44,10:58:18,30,-103,-4.75,537
31,11:00:46,10:58:20,31,-99,2.00,529
32,11:00:48,10:58:23,32,-101,1.25,523
33,11:00:51,10:58:25,33,-102,0.00,525
34,11:00:53,10:58:27,34,-102,-7.75,523
35,11:00:55,10:58:30,35,-101,0.25,516
36,11:00:58,10:58:32,36,-103,-0.50,521
37,11:01:00,10:58:34,37,-102,1.50,521
38,11:01:02,10:58:37,38,-100,1.75,523
39,11:01:05,10:58:39,39,-101,1.75,527
40,11:01:07,10:58:41,40,-100,1.50,533
41,11:01:09,10:58:44,41,-101,-0.25,544
42,11:01:12,10:58:46,42,-99,2.00,554
43,11:01:14,10:58:48,43,-101,2.00,569
44,11:01:16,10:58:51,44,-101,1.00,575
45,11:01:19,10:58:53,45,-101,1.00,577
46,11:01:21,10:58:55,46,-102,-0.75,584
47,11:01:23,10:58:57,47,-103,-0.50,594
48,11:01:26,10:59:00,48,-104,-11.50,596
49,11:01:28,10:59:02,49,-104,-4.75,602
50,11:01:30,10:59:04,50,-104,-5.75,611
51,11:01:33,10:59:07,51,-104,-9.75,611
52,11:01:35,10:59:09,52,-104,-1.75,611
53,11:01:37,10:59:11,53,-103,-3.00,663
54,11:01:40,10:59:14,54,-104,-3.50,613
55,11:01:42,10:59:16,55,-102,-0.75,609
56,11:01:44,10:59:18,56,-100,-0.50,670
57,11:01:47,10:59:21,57,-102,0.25,615
58,11:01:49,10:59:23,58,-97,5.75,613
59,11:01:51,10:59:25,59,-97,4.75,619
