Package received,time received,time send,package send,rssi,snr,freqError
1,10:56:05,10:53:33,1,-107,-0.25,447
2,10:56:08,10:53:35,2,-107,-0.25,445
3,10:56:10,10:53:37,3,-107,-0.25,439
4,10:56:12,10:53:40,4,-108,-0.25,437
5,10:56:15,10:53:42,5,-108,-0.75,437
6,10:56:17,10:53:44,6,-107,-0.75,439
7,10:56:19,10:53:47,7,-107,-1.25,437
8,10:56:22,10:53:49,8,-107,-0.50,435
9,10:56:24,10:53:51,9,-108,-0.25,435
10,10:56:26,10:53:54,10,-107,0.00,441
11,10:56:29,10:53:56,11,-107,0.50,430
12,10:56:31,10:53:58,12,-106,1.25,433
13,10:56:33,10:54:01,13,-108,-1.25,426
14,10:56:36,10:54:03,14,-106,0.25,418
15,10:56:38,10:54:05,15,-108,-0.25,407
16,10:56:40,10:54:08,16,-107,-0.25,395
17,10:56:43,10:54:10,17,-108,-0.50,389
18,10:56:45,10:54:12,18,-108,0.25,380
19,10:56:47,10:54:15,19,-108,0.00,372
20,10:56:50,10:54:17,20,-107,0.00,365
21,10:56:52,10:54:19,21,-107,-1.00,361
22,10:56:54,10:54:22,22,-108,0.25,368
23,10:56:57,10:54:24,23,-107,-0.50,374
24,10:56:59,10:54:26,24,-107,0.25,378
25,10:57:01,10:54:29,25,-107,-0.25,376
26,10:57:04,10:54:31,26,-107,-0.75,370
27,10:57:06,10:54:33,27,-107,0.00,378
28,10:57:08,10:54:36,28,-107,-1.00,376
29,10:57:11,10:54:38,29,-108,-0.75,380
30,10:57:13,10:54:40,30,-107,-0.75,384
31,10:57:15,10:54:43,31,-107,-1.50,391
32,10:57:18,10:54:45,32,-108,-0.50,399
33,10:57:20,10:54:47,33,-108,-1.00,395
34,10:57:22,10:54:50,34,-108,-0.25,395
35,10:57:24,10:54:52,35,-107,-0.50,401
36,10:57:27,10:54:54,36,-107,0.25,401
37,10:57:29,10:54:57,37,-107,-1.00,399
38,10:57:31,10:54:59,38,-108,-0.75,399
39,10:57:34,10:55:01,39,-108,-0.75,403
40,10:57:36,10:55:04,40,-107,-1.25,403
41,10:57:38,10:55:06,41,-108,-1.25,403
42,10:57:41,10:55:08,42,-107,-1.25,409
43,10:57:43,10:55:11,43,-107,-1.50,416
44,10:57:45,10:55:13,44,-108,-2.00,430
45,10:57:48,10:55:15,45,-107,-1.00,445
46,10:57:50,10:55:18,46,-107,-0.75,458
47,10:57:52,10:55:20,47,-108,-1.25,477
48,10:57:55,10:55:22,48,-108,-0.50,481
49,10:57:57,10:55:25,49,-109,-0.50,479
50,10:57:59,10:55:27,50,-108,-2.25,531
51,10:58:02,10:55:29,51,-107,0.00,477
52,10:58:04,10:55:32,52,-108,1.00,485
53,10:58:06,10:55:34,53,-108,0.00,491
54,10:58:09,10:55:36,54,-109,-0.75,500
55,10:58:11,10:55:39,55,-108,-0.75,502
56,10:58:14,10:55:41,56,-108,-0.75,506
57,10:58:16,10:55:43,57,-108,-0.25,504
58,10:58:18,10:55:46,58,-107,-1.00,506
59,10:58:21,10:55:48,59,-109,-0.25,510
60,10:58:23,10:55:50,60,-109,-0.25,514
61,10:58:25,10:55:53,61,-107,-0.75,514
62,10:58:28,10:55:55,62,-108,-0.50,512
63,10:58:30,10:55:57,63,-107,-0.75,514
64,10:58:32,10:56:00,64,-109,-0.25,516
65,10:58:35,10:56:02,65,-108,-0.75,519
66,10:58:37,10:56:04,66,-108,0.00,514
67,10:58:39,10:56:07,67,-107,0.25,516
68,10:58:41,10:56:09,68,-107,0.25,512
69,10:58:44,10:56:11,69,-108,-0.25,508
70,10:58:46,10:56:14,70,-108,-0.50,514
71,10:58:48,10:56:16,71,-108,0.25,514
72,10:58:51,10:56:18,72,-108,0.00,519
73,10:58:53,10:56:21,73,-109,-0.75,523
74,10:58:55,10:56:23,74,-107,-1.00,525
75,10:58:58,10:56:25,75,-108,-1.00,527
76,10:59:00,10:56:28,76,-107,-0.75,533
77,10:59:02,10:56:30,77,-108,0.00,540
78,10:59:05,10:56:32,78,-108,-0.25,544
79,10:59:07,10:56:35,79,-108,1.00,544
80,10:59:09,10:56:37,80,-107,0.75,544
