Package received,time received,time send,package send,rssi,snr,freqError
1,10:24:02,10:21:29,2,-109,-5.25,527
2,10:24:04,10:21:32,3,-110,-3.50,519
3,10:24:07,10:21:34,4,-110,-3.50,512
4,10:24:09,10:21:36,5,-110,-2.50,504
5,10:24:11,10:21:39,6,-111,-4.00,504
6,10:24:14,10:21:41,7,-109,-4.75,493
7,10:24:16,10:21:43,8,-110,-3.50,485
8,10:24:18,10:21:46,9,-110,-3.00,483
9,10:24:21,10:21:48,10,-110,-5.00,533
10,10:24:23,10:21:50,11,-110,-5.50,472
11,10:24:25,10:21:53,12,-109,-4.50,468
12,10:24:28,10:21:55,13,-110,-3.50,464
13,10:24:30,10:21:57,14,-109,-3.25,458
14,10:24:32,10:22:00,15,-110,-5.25,454
15,10:24:35,10:22:02,16,-110,-6.00,447
16,10:24:37,10:22:04,17,-109,-6.25,443
17,10:24:39,10:22:07,18,-110,-6.50,441
18,10:24:42,10:22:09,19,-111,-4.75,435
