Package received,time received,time send,package send,rssi,snr,freqError
1,19:10:30,19:08:09,1,-112,-19.75,519
2,19:10:32,19:08:12,2,-111,-19.5,521
3,19:10:34,19:08:14,3,-112,-19.75,523
4,19:10:37,19:08:16,4,-112,-20.75,533
5,19:10:48,19:08:28,9,-111,-22.25,529
6,19:10:53,19:08:33,11,-112,-22,516
7,19:10:55,19:08:35,12,-112,-21.5,519
8,19:10:57,19:08:37,13,-113,-20.5,512
9,19:11:02,19:08:42,15,-112,-22.5,508
10,19:11:25,19:09:05,25,-111,-20.25,516
11,19:11:28,19:09:08,26,-112,-20.25,510
12,19:12:56,19:10:36,64,-112,-22.75,523
,,,,,,
12,146,147,12,-111.8,-21.0,519.1
