Package received,time received,time send,package send,rssi,snr,freqError
1,11:07:02,11:04:37,1,-104,-13.25,707
2,11:07:05,11:04:39,2,-106,-5.75,556
3,11:07:07,11:04:41,3,-101,2.00,560
4,11:07:09,11:04:44,4,-101,2.00,558
5,11:07:12,11:04:46,5,-101,1.50,560
6,11:07:14,11:04:48,6,-103,1.25,560
7,11:07:16,11:04:51,7,-101,2.00,558
8,11:07:19,11:04:53,8,-100,1.25,552
9,11:07:21,11:04:55,9,-99,2.00,542
10,11:07:23,11:04:58,10,-101,1.00,533
11,11:07:26,11:05:00,11,-101,0.75,529
12,11:07:28,11:05:02,12,-103,0.00,521
13,11:07:30,11:05:05,13,-103,-0.50,516
14,11:07:33,11:05:07,14,-101,1.25,514
15,11:07:35,11:05:09,15,-101,1.50,510
16,11:07:37,11:05:12,16,-102,0.25,510
17,11:07:40,11:05:14,17,-104,-3.75,510
18,11:07:42,11:05:16,18,-104,-9.50,508
19,11:07:44,11:05:19,19,-105,-4.50,502
20,11:07:47,11:05:21,20,-104,0.25,500
21,11:07:49,11:05:23,21,-102,-0.50,495
22,11:07:51,11:05:26,22,-103,-0.75,495
23,11:07:54,11:05:28,23,-103,-1.00,491
24,11:07:56,11:05:30,24,-104,-0.50,491
25,11:07:58,11:05:33,25,-103,-2.25,489
26,11:08:01,11:05:35,26,-103,-1.00,489
27,11:08:03,11:05:37,27,-103,-2.00,481
28,11:08:05,11:05:40,28,-103,-2.50,483
29,11:08:08,11:05:42,29,-103,-1.75,483
30,11:08:10,11:05:44,30,-104,-1.75,491
31,11:08:12,11:05:47,31,-104,0.00,498
32,11:08:15,11:05:49,32,-104,0.25,506
33,11:08:17,11:05:51,33,-104,-0.75,516
34,11:08:19,11:05:54,34,-103,-1.75,523
35,11:08:22,11:05:56,35,-104,-1.75,527
36,11:08:24,11:05:58,36,-104,-3.50,531
37,11:08:26,11:06:01,37,-104,-3.00,531
38,11:08:29,11:06:03,38,-104,-2.50,531
39,11:08:31,11:06:05,39,-104,-1.00,531
40,11:08:33,11:06:08,40,-104,0.00,537
41,11:08:36,11:06:10,41,-103,0.25,537
42,11:08:38,11:06:12,42,-105,-4.25,542
43,11:08:40,11:06:15,43,-104,-3.50,542
44,11:08:43,11:06:17,44,-104,0.50,546
45,11:08:45,11:06:19,45,-102,0.75,548
46,11:08:47,11:06:22,46,-102,1.25,550
47,11:08:50,11:06:24,47,-103,0.75,552
48,11:08:52,11:06:26,48,-102,0.75,550
49,11:08:54,11:06:29,49,-102,0.25,550
50,11:08:57,11:06:31,50,-101,1.00,552
51,11:08:59,11:06:33,51,-102,1.50,552
52,11:09:01,11:06:36,52,-104,0.25,550
53,11:09:04,11:06:38,53,-104,0.50,552
54,11:09:06,11:06:40,54,-103,0.25,554
55,11:09:08,11:06:43,55,-102,1.50,556
56,11:09:11,11:06:45,56,-102,1.25,556
57,11:09:13,11:06:47,57,-103,2.00,554
58,11:09:15,11:06:50,58,-102,1.00,552
59,11:09:18,11:06:52,59,-101,0.75,550
60,11:09:20,11:06:54,60,-102,0.50,548
61,11:09:22,11:06:57,61,-101,0.50,544
62,11:09:25,11:06:59,62,-100,1.75,540
63,11:09:27,11:07:01,63,-101,2.00,540
64,11:09:29,11:07:04,64,-100,2.25,542
65,11:09:32,11:07:06,65,-101,2.25,542
66,11:09:34,11:07:08,66,-100,2.00,540
67,11:09:36,11:07:11,67,-98,4.50,537
68,11:09:39,11:07:13,68,-99,3.75,537
69,11:09:41,11:07:15,69,-99,4.25,533
70,11:09:43,11:07:17,70,-98,3.75,533
