Package received,time received,time send,package send,rssi,snr,freqError
1,18:27:26,18:25:06,1,-93,6.5,565
2,18:27:28,18:25:08,2,-100,5,560
3,18:27:31,18:25:10,3,-93,5,563
4,18:27:33,18:25:13,4,-96,5.75,565
5,18:27:35,18:25:15,5,-97,6,563
6,18:27:38,18:25:17,6,-102,4,567
7,18:27:40,18:25:20,7,-101,4.75,563
8,18:27:42,18:25:22,8,-95,5,563
9,18:27:45,18:25:24,9,-98,5,558
10,18:27:47,18:25:27,10,-96,4.75,569
11,18:27:49,18:25:29,11,-96,5.75,558
12,18:27:52,18:25:31,12,-95,5,560
13,18:27:54,18:25:34,13,-96,4.5,560
14,18:27:56,18:25:36,14,-96,4.5,560
15,18:27:59,18:25:38,15,-97,5.5,558
16,18:28:01,18:25:41,16,-92,6.75,558
17,18:28:03,18:25:43,17,-96,5,558
18,18:28:06,18:25:45,18,-95,5,556
19,18:28:08,18:25:48,19,-95,4.75,558
20,18:28:10,18:25:50,20,-94,5.75,556
21,18:28:13,18:25:52,21,-93,5.75,556
22,18:28:15,18:25:55,22,-95,5.25,554
23,18:28:17,18:25:57,23,-96,3.75,554
24,18:28:20,18:25:59,24,-97,5,552
25,18:28:22,18:26:02,25,-92,6.25,554
26,18:28:24,18:26:04,26,-94,6,552
27,18:28:27,18:26:06,27,-93,6.25,552
28,18:28:29,18:26:09,28,-92,6.5,552
29,18:28:31,18:26:11,29,-97,4.25,544
30,18:28:34,18:26:13,30,-94,6.25,550
31,18:28:36,18:26:16,31,-94,5,550
32,18:28:38,18:26:18,32,-95,5.5,546
33,18:28:41,18:26:20,33,-95,5.75,546
34,18:28:43,18:26:23,34,-96,4.5,546
35,18:28:45,18:26:25,35,-94,6.5,546
36,18:28:48,18:26:27,36,-93,5.25,544
37,18:28:50,18:26:30,37,-94,6,544
38,18:28:52,18:26:32,38,-94,6.25,542
39,18:28:55,18:26:34,39,-96,6.5,542
40,18:28:57,18:26:37,40,-95,6.25,542
41,18:28:59,18:26:39,41,-95,5.25,540
42,18:29:02,18:26:41,42,-95,6,540
43,18:29:04,18:26:44,43,-96,6,540
44,18:29:06,18:26:46,44,-96,5.25,540
45,18:29:09,18:26:48,45,-99,6.25,540
46,18:29:11,18:26:51,46,-93,6,537
47,18:29:13,18:26:53,47,-95,6,537
48,18:29:16,18:26:55,48,-95,5.5,537
49,18:29:18,18:26:58,49,-95,6.75,537
50,18:29:20,18:27:00,50,-95,6,535
51,18:29:23,18:27:02,51,-95,5.75,540
52,18:29:25,18:27:05,52,-94,6,537
53,18:29:27,18:27:07,53,-96,6,535
54,18:29:30,18:27:09,54,-96,5.75,535
55,18:29:32,18:27:12,55,-96,6,540
56,18:29:34,18:27:14,56,-95,5.25,535
57,18:29:37,18:27:16,57,-96,5.25,535
58,18:29:39,18:27:19,58,-96,6.25,535
59,18:29:41,18:27:21,59,-94,6.75,537
60,18:29:44,18:27:23,60,-96,5.5,531
61,18:29:46,18:27:26,61,-97,5.25,533
62,18:29:48,18:27:28,62,-95,6,533
63,18:29:51,18:27:30,63,-96,6,535
64,18:29:53,18:27:33,64,-95,5.5,533
65,18:29:55,18:27:35,65,-96,5.5,533
66,18:29:58,18:27:37,66,-96,4.25,531
67,18:30:00,18:27:40,67,-99,5.25,533
68,18:30:02,18:27:42,68,-96,5,529
69,18:30:04,18:27:44,69,-100,4.25,535
70,18:30:07,18:27:47,70,-98,5.75,529
71,18:30:09,18:27:49,71,-95,5.75,531
72,18:30:11,18:27:51,72,-99,6,531
73,18:30:14,18:27:54,73,-96,5.75,533
74,18:30:16,18:27:56,74,-101,5.5,531
75,18:30:18,18:27:58,75,-99,6,535
76,18:30:21,18:28:01,76,-102,4,533
77,18:30:23,18:28:03,77,-99,4,531
78,18:30:25,18:28:05,78,-100,5.25,531
79,18:30:28,18:28:07,79,-101,3.5,527
80,18:30:30,18:28:10,80,-100,5.75,527
81,18:30:32,18:28:12,81,-99,5,525
82,18:30:35,18:28:14,82,-98,5.75,527
83,18:30:37,18:28:17,83,-102,4.5,525
84,18:30:39,18:28:19,84,-102,4.25,521
85,18:30:42,18:28:21,85,-105,3,523
,,,,,,
85,196,195,85,-96.3,5.4,543.3
