Package received,time received,time send,package send,rssi,snr,freqError
1,15:38:03,15:35:27,1,-100,3.75,684
2,15:38:05,15:35:29,2,-99,4.25,682
3,15:38:07,15:35:32,3,-98,5,682
4,15:38:10,15:35:34,4,-98,4.5,682
5,15:38:12,15:35:36,5,-97,5,682
6,15:38:14,15:35:39,6,-98,5.25,682
7,15:38:17,15:35:41,7,-96,5.25,682
8,15:38:19,15:35:43,8,-96,5.25,682
9,15:38:21,15:35:46,9,-98,4,680
10,15:38:24,15:35:48,10,-97,4,680
11,15:38:26,15:35:50,11,-96,5.25,678
12,15:38:28,15:35:53,12,-96,5.25,678
13,15:38:31,15:35:55,13,-98,6,676
14,15:38:33,15:35:57,14,-97,6.25,674
15,15:38:35,15:36:00,15,-97,5.75,674
16,15:38:38,15:36:02,16,-96,5.75,674
17,15:38:40,15:36:04,17,-97,5.75,674
18,15:38:42,15:36:06,18,-96,5.5,674
19,15:38:45,15:36:09,19,-96,5.75,672
20,15:38:47,15:36:11,20,-95,5.75,672
21,15:38:49,15:36:13,21,-97,5.5,670
22,15:38:52,15:36:16,22,-97,4.75,670
23,15:38:54,15:36:18,23,-99,5,670
24,15:38:56,15:36:20,24,-98,5,667
25,15:38:59,15:36:23,25,-98,5.25,665
26,15:39:01,15:36:25,26,-96,5.25,665
27,15:39:03,15:36:27,27,-98,4.75,665
28,15:39:05,15:36:30,28,-98,5.25,665
29,15:39:08,15:36:32,29,-97,5.25,663
30,15:39:10,15:36:34,30,-97,5.25,663
31,15:39:12,15:36:37,31,-96,5.25,661
32,15:39:15,15:36:39,32,-97,5,661
33,15:39:17,15:36:41,33,-98,5,661
34,15:39:19,15:36:44,34,-98,5.25,659
35,15:39:22,15:36:46,35,-98,4.25,659
36,15:39:24,15:36:48,36,-96,4.75,659
37,15:39:26,15:36:51,37,-96,4.5,659
38,15:39:29,15:36:53,38,-97,5.25,659
39,15:39:31,15:36:55,39,-97,5.5,657
40,15:39:33,15:36:58,40,-99,5.25,657
41,15:39:36,15:37:00,41,-97,5.5,655
42,15:39:38,15:37:02,42,-98,5.75,655
43,15:39:40,15:37:05,43,-98,5,653
44,15:39:43,15:37:07,44,-97,4.75,653
45,15:39:45,15:37:09,45,-97,5.5,653
46,15:39:47,15:37:12,46,-97,5.75,651
47,15:39:50,15:37:14,47,-97,5.25,651
48,15:39:52,15:37:16,48,-98,4.75,651
49,15:39:54,15:37:19,49,-98,5.25,651
50,15:39:57,15:37:21,50,-98,5.25,651
51,15:39:59,15:37:23,51,-97,4.5,649
52,15:40:01,15:37:26,52,-98,5.5,649
53,15:40:04,15:37:28,53,-98,5.5,649
54,15:40:06,15:37:30,54,-97,5.75,646
55,15:40:08,15:37:33,55,-97,4.25,646
56,15:40:11,15:37:35,56,-96,4.5,649
,,,,,,
56,128,128,56,-97.3,5.1,664.8
