Package received,time received,time send,package send,rssi,snr,freqError
1,15:14:48,15:12:17,2,-102,2,686
2,15:14:50,15:12:20,3,-97,5.5,686
3,15:14:52,15:12:22,4,-99,3.5,684
4,15:14:55,15:12:24,5,-99,5,686
5,15:14:57,15:12:27,6,-101,2.75,684
6,15:14:59,15:12:29,7,-100,2.75,686
7,15:15:02,15:12:31,8,-100,3.25,684
8,15:15:04,15:12:34,9,-100,3,684
9,15:15:06,15:12:36,10,-100,4.5,684
10,15:15:09,15:12:38,11,-98,4.5,684
11,15:15:11,15:12:41,12,-98,4.75,682
12,15:15:13,15:12:43,13,-98,4.5,682
13,15:15:16,15:12:45,14,-99,4,680
14,15:15:18,15:12:48,15,-98,4.25,682
15,15:15:20,15:12:50,16,-99,4.5,682
16,15:15:23,15:12:52,17,-98,4.25,682
17,15:15:25,15:12:55,18,-97,4.5,680
18,15:15:27,15:12:57,19,-98,4,680
19,15:15:30,15:12:59,20,-96,4.75,680
20,15:15:32,15:13:02,21,-96,5,680
21,15:15:34,15:13:04,22,-97,4,680
22,15:15:37,15:13:06,23,-98,4.75,680
23,15:15:39,15:13:09,24,-98,4,678
24,15:15:41,15:13:11,25,-97,4,678
25,15:15:44,15:13:13,26,-98,3.25,678
26,15:15:46,15:13:16,27,-97,4.75,678
27,15:15:48,15:13:18,28,-97,5.5,678
28,15:15:51,15:13:20,29,-103,1,678
29,15:15:53,15:13:23,30,-106,0.75,678
30,15:15:55,15:13:25,31,-105,0.75,676
31,15:15:57,15:13:27,32,-106,-2.25,676
32,15:16:00,15:13:30,33,-104,0.75,676
33,15:16:02,15:13:32,34,-98,4,674
34,15:16:04,15:13:34,35,-103,2.75,676
35,15:16:07,15:13:37,36,-97,4.75,674
36,15:16:09,15:13:39,37,-99,3.5,674
37,15:16:11,15:13:41,38,-100,3.5,674
38,15:16:14,15:13:43,39,-99,2.5,674
39,15:16:16,15:13:46,40,-97,2.5,674
40,15:16:18,15:13:48,41,-98,4.75,674
41,15:16:21,15:13:50,42,-98,4.5,672
42,15:16:23,15:13:53,43,-99,5,672
43,15:16:25,15:13:55,44,-98,4.25,672
44,15:16:28,15:13:57,45,-98,4.75,672
45,15:16:30,15:14:00,46,-97,4,672
46,15:16:32,15:14:02,47,-99,4.5,672
47,15:16:35,15:14:04,48,-98,4,670
48,15:16:37,15:14:07,49,-98,4.75,670
49,15:16:39,15:14:09,50,-98,4.25,670
50,15:16:42,15:14:11,51,-98,3.75,670
51,15:16:44,15:14:14,52,-104,1.25,670
52,15:16:47,15:14:16,53,-103,-0.5,672
53,15:16:49,15:14:18,54,-103,2.5,670
54,15:16:51,15:14:21,55,-104,2.75,667
55,15:16:54,15:14:23,56,-102,2.5,667
56,15:16:56,15:14:25,57,-102,1.25,667
57,15:16:58,15:14:28,58,-106,-0.75,667
58,15:17:01,15:14:30,59,-104,1.25,667
59,15:17:03,15:14:32,60,-103,1,665
60,15:17:05,15:14:35,61,-103,0.75,665
61,15:17:08,15:14:37,62,-102,2.25,665
62,15:17:10,15:14:39,63,-101,2.25,665
63,15:17:12,15:14:42,64,-100,2.25,665
64,15:17:14,15:14:44,65,-104,1.25,667
65,15:17:17,15:14:46,66,-104,1.25,667
,,,,,,
65,149,149,66,-99.9,3.2,675.4
