Package received,time received,time send,package send,rssi,snr,freqError
1,16:14:04,16:11:27,2,-109,-19.75,560
2,16:14:06,16:11:29,3,-108,-17.75,571
3,16:14:13,16:11:36,6,-108,-14.75,575
4,16:14:15,16:11:38,7,-106,-14.25,577
5,16:14:18,16:11:41,8,-108,-10,584
6,16:14:20,16:11:43,9,-109,-9.25,575
7,16:14:22,16:11:45,10,-108,-9.75,581
8,16:14:25,16:11:48,11,-106,-13.25,586
9,16:14:27,16:11:50,12,-108,-14.25,581
10,16:14:29,16:11:52,13,-110,-10,581
11,16:14:32,16:11:55,14,-109,-13.75,590
12,16:14:34,16:11:57,15,-109,-13.5,584
13,16:14:36,16:11:59,16,-109,-12,584
14,16:14:39,16:12:02,17,-110,-10.75,588
15,16:14:41,16:12:04,18,-109,-11.5,588
16,16:14:43,16:12:06,19,-110,-10.25,594
17,16:14:46,16:12:09,20,-110,-9.5,590
18,16:14:48,16:12:11,21,-110,-10.5,590
19,16:14:50,16:12:13,22,-110,-10.5,596
20,16:14:53,16:12:16,23,-110,-9.75,594
21,16:14:55,16:12:18,24,-110,-10,592
22,16:14:57,16:12:20,25,-108,-11,596
23,16:15:00,16:12:23,26,-107,-13.25,600
24,16:15:02,16:12:25,27,-108,-13,594
25,16:15:04,16:12:27,28,-107,-14.5,594
26,16:15:07,16:12:30,29,-108,-13.25,602
27,16:15:09,16:12:32,30,-104,-17.5,596
28,16:15:11,16:12:34,31,-106,-15.25,594
29,16:15:14,16:12:37,32,-106,-15.5,598
30,16:15:16,16:12:39,33,-107,-14.25,598
31,16:15:18,16:12:41,34,-106,-16,596
32,16:15:21,16:12:44,35,-107,-13.75,594
33,16:15:23,16:12:46,36,-106,-14,596
34,16:15:25,16:12:48,37,-109,-11.75,600
35,16:15:28,16:12:51,38,-109,-10.5,596
36,16:15:30,16:12:53,39,-108,-12,602
37,16:15:32,16:12:55,40,-110,-10.75,600
38,16:15:35,16:12:58,41,-108,-12.5,600
39,16:15:37,16:13:00,42,-108,-12.5,602
40,16:15:39,16:13:02,43,-108,-13.25,602
41,16:15:42,16:13:05,44,-110,-11,600
42,16:15:44,16:13:07,45,-108,-10.5,605
43,16:15:46,16:13:09,46,-109,-9.75,607
44,16:15:49,16:13:12,47,-110,-10.5,605
45,16:15:51,16:13:14,48,-110,-10,605
46,16:15:53,16:13:16,49,-110,-10,602
47,16:15:56,16:13:19,50,-106,-14.5,605
48,16:15:58,16:13:21,51,-107,-12.75,602
49,16:16:00,16:13:23,52,-108,-12.75,600
,,,,,,
49,116,116,52,-108.2,-12.5,592.9
